Fund name, Isin, Nav status, Fund status
JPM Asia Equity Dividend Fund,HK0000151891,success,success
JPM Asia Equity High Income Fund,HK0000055613,success,success
JPM Asia Growth Fund,LU0169518387,success,success
JPM Asia Pacific Equity Fund,LU0441854154,success,success
JPM China Fund,LU0210526637,success,success
JPM China A-Share Opportunities Fund,LU1255011170,success,success
JPM Japan Equity Fund,LU0927678507,success,success
JPM Japan Strategic Value Fund,LU0329204464,success,success
JPM Emerging Markets Equity Fund,LU0210529656,success,success
JPM Total Emerging Markets Income Fund,LU0972618572,success,success
JPM Europe Dynamic Fund,LU0955580203,success,success
JPM America Equity Fund,LU0210528500,success,success
JPM US Growth Fund,LU0210536198,success,success
JPM US Value Fund,LU0210536511,success,success
JPM US Smaller Companies Fund,LU0210528922,success,success
JPM Global Core Equity,LU2582001959,success,success
JPM Global Dividend Fund,LU0329201957,success,success
JPM Global Select Equity Fund,LU0070217475,success,success
JPM Global Research Enhanced Index Equity Fund,LU2402382688,success,success
JPM Asian Total Return Bond Fund,HK0000055597,success,success
JPM Global Aggregate Bond Fund,LU0210533179,success,success
JPM US Aggregate Bond Fund,LU0210532957,success,success
JPM Emerging Markets Debt Fund,LU0499112034,success,success
JPM Global Corporate Bond Fund,LU0408846375,success,success
JPM Global Government Bond Fund,LU0406674159,success,success
JPM Global High Yield Bond Fund,LU0344579056,success,success
JPM Managed Reserves Fund,LU0513027705,success,success
JPM APAC Managed Reserves Fund,LU2521021324,fail,success
JPM Asia Pacific Income Fund,LU0210527791,success,success
JPM Global Income Fund,LU0762807625,success,success
JPMorgan Funds - Multi-Manager Alternatives Fund,LU1303367103,success,success
JPM ASEAN Equity Fund,LU0441851309,success,success
JPM Brazil Equity Fund,LU0318934451,fail,success
JPM India Fund,LU0210527015,success,success
JPM Indonesia Fund,HK0000055662,fail,success
JPM Korea Equity Fund,LU0301634860,success,success
JPM Latin America Equity Fund,LU0210535034,success,success
JPM Taiwan Fund,LU0210528419,success,success
JPM Greater China Fund,LU0210526801,success,success
JPM Europe Equity Fund,LU0119078227,success,success
JPM Euroland Equity Fund,LU0979766432,success,success
JPM Climate Change Solutions Fund,LU2394011477,success,success
JPM Global Healthcare Fund,LU0432979614,success,success
JPM Global Natural Resources Fund,LU0266512127,success,success
JPM Thematics - Genetic Therapies,LU2050612402,success,success
JPM Sustainable Infrastructure Fund,HK0000306420,success,success
JPM Pacific Technology Fund,HK0000055761,success,success
JPM Europe Dynamic Tech Fund,LU0210532015,success,success
JPM US Technology Fund,LU0210536867,success,success
JPM Global Government Short Duration Bond Fund,LU0408876521,success,success
JPM Global Short Duration Bond Fund,LU0430494889,success,success
JPM US Short Duration Bond Fund,LU0562247428,success,success
JPM Income Fund,LU1041599405,success,success
JPM Global Bond Opportunities Fund,LU0867954264,success,success
