Category,Sub-Asset Class,Fund Name,ISIN
Guided Mutual Funds List – Equity,Asia,JPM Asia Equity Dividend Fund,HK0000151891
Guided Mutual Funds List – Equity,Asia,JPM Asia Equity High Income Fund,HK0000055613
Guided Mutual Funds List – Equity,Asia,JPM Asia Growth Fund,LU0169518387
Guided Mutual Funds List – Equity,Asia,JPM Asia Pacific Equity Fund,LU0441854154
Guided Mutual Funds List – Equity,China,JPM China Fund,LU0210526637
Guided Mutual Funds List – Equity,China,JPM China A-Share Opportunities Fund,LU1255011170
Guided Mutual Funds List – Equity,Japan,JPM Japan Equity Fund,LU0927678507
Guided Mutual Funds List – Equity,Japan,JPM Japan Strategic Value Fund,LU0329204464
Guided Mutual Funds List – Equity,Emerging Markets,JPM Emerging Markets Equity Fund,LU0210529656
Guided Mutual Funds List – Equity,Emerging Markets,JPM Total Emerging Markets Income Fund,LU0972618572
Guided Mutual Funds List – Equity,Europe,JPM Europe Dynamic Fund,LU0955580203
Guided Mutual Funds List – Equity,America,JPM America Equity Fund,LU0210528500
Guided Mutual Funds List – Equity,U.S.,JPM US Growth Fund,LU0210536198
Guided Mutual Funds List – Equity,U.S.,JPM US Value Fund,LU0210536511
Guided Mutual Funds List – Equity,U.S.,JPM US Smaller Companies Fund,LU0210528922
Guided Mutual Funds List – Equity,Global,JPM Global Core Equity,LU2582001959
Guided Mutual Funds List – Equity,Global,JPM Global Dividend Fund,LU0329201957
Guided Mutual Funds List – Equity,Global,JPM Global Select Equity Fund,LU0070217475
Guided Mutual Funds List – Equity,Global,JPM Global Research Enhanced Index Equity Fund,LU2402382688
Guided Mutual Funds List – Fixed Income,Asian Bonds,JPM Asian Total Return Bond Fund,HK0000055597
Guided Mutual Funds List – Fixed Income,Global Bonds,JPM Global Aggregate Bond Fund,LU0210533179
Guided Mutual Funds List – Fixed Income,US Bonds,JPM US Aggregate Bond Fund,LU0210532957
Guided Mutual Funds List – Fixed Income,Emerging Markets Debt,JPM Emerging Markets Debt Fund,LU0499112034
Guided Mutual Funds List – Fixed Income,Investment Grade,JPM Global Corporate Bond Fund,LU0408846375
Guided Mutual Funds List – Fixed Income,Government Bonds,JPM Global Government Bond Fund,LU0406674159
Guided Mutual Funds List – Fixed Income,High Yield,JPM Global High Yield Bond Fund,LU0344579056
Guided Mutual Funds List – Fixed Income,Managed Reserves,JPM Managed Reserves Fund,LU0513027705
Guided Mutual Funds List – Fixed Income,APAC Managed Reserves,JPM APAC Managed Reserves Fund,LU2521021324
Guided Mutual Funds List – Allocation / Multi-Asset,Asia,JPM Asia Pacific Income Fund,LU0210527791
Guided Mutual Funds List – Allocation / Multi-Asset,Global,JPM Global Income Fund,LU0762807625
Guided Mutual Funds List – Alternatives,Hedge Funds,JPMorgan Funds - Multi-Manager Alternatives Fund,LU1303367103
Supplementary Mutual Funds List – Equity,ASEAN,JPM ASEAN Equity Fund,LU0441851309
Supplementary Mutual Funds List – Equity,Brazil,JPM Brazil Equity Fund,LU0318934451
Supplementary Mutual Funds List – Equity,India,JPM India Fund,LU0210527015
Supplementary Mutual Funds List – Equity,Indonesia,JPM Indonesia Fund,HK0000055662
Supplementary Mutual Funds List – Equity,Global Equities,JPM Korea Equity Fund,LU0301634860
Supplementary Mutual Funds List – Equity,Global Equities,JPM Latin America Equity Fund,LU0210535034
Supplementary Mutual Funds List – Equity,Global Equities,JPM Taiwan Fund,LU0210528419
Supplementary Mutual Funds List – Equity,Global Equities,JPM Greater China Fund,LU0210526801
Supplementary Mutual Funds List – Equity,Global Equities,JPM Europe Equity Fund,LU0119078227
Supplementary Mutual Funds List – Equity,Global Equities,JPM Euroland Equity Fund,LU0979766432
Supplementary Mutual Funds List – Equity,Global Thematics,JPM Climate Change Solutions Fund,LU2394011477
Supplementary Mutual Funds List – Equity,Global Thematics,JPM Global Healthcare Fund,LU0432979614
Supplementary Mutual Funds List – Equity,Global Thematics,JPM Global Natural Resources Fund,LU0266512127
Supplementary Mutual Funds List – Equity,Global Thematics,JPM Thematics - Genetic Therapies,LU2050612402
Supplementary Mutual Funds List – Equity,Global Thematics,JPM Sustainable Infrastructure Fund,HK0000306420
Supplementary Mutual Funds List – Equity,Asia Pacific ex-Japan,JPM Pacific Technology Fund,HK0000055761
Supplementary Mutual Funds List – Equity,Global Thematics,JPM Europe Dynamic Tech Fund,LU0210532015
Supplementary Mutual Funds List – Equity,U.S.,JPM US Technology Fund,LU0210536867
Supplementary Mutual Funds List – Fixed Income,Global Short Duration,JPM Global Government Short Duration Bond Fund,LU0408876521
Supplementary Mutual Funds List – Fixed Income,Global Short Duration,JPM Global Short Duration Bond Fund,LU0430494889
Supplementary Mutual Funds List – Fixed Income,US Short Duration,JPM US Short Duration Bond Fund,LU0562247428
Supplementary Mutual Funds List – Fixed Income,Income,JPM Income Fund,LU1041599405
Supplementary Mutual Funds List – Fixed Income,Opportunities,JPM Global Bond Opportunities Fund,LU0867954264
